Model,ROC,Sensitivity,Specificity
mic2.mic3,0.99,92.59,96.97
mic3.mic4,0.97,93.88,88.31
mic4.mic5,0.98,95.12,91.77
mic5.mic6,0.98,88.89,95.56
mic6.mic7,0.98,89.47,98.13
mic8.mic9,0.99,91.67,99.08
mic9.mic10,0.99,94.29,97.67
mic10.mic11,0.99,98.72,91.67
mic11.mic12,0.99,95.12,97.73
mic12.mic1,0.99,91.30,98.25
mol1.mol2,0.98,93.33,95.56
mol2.mol3,1.00,100.00,96.88
mol3.mol4,1.00,100.00,96.88
mol4.mol5,1.00,96.30,100.00
mol5.mol6,0.99,95.24,100.00
mol6.mol7,0.94,85.71,89.74
mol7.mol8,0.95,95.24,84.62
mol8.mol9,0.96,100.00,80.49
mol9.mol10,0.96,94.74,82.93
mol10.mol11,1.00,100.00,94.12
mol11.mol12,1.00,97.56,100.00
mol12.mol1,0.98,95.65,92.31
ptr1.ptr2,0.98,92.54,93.75
ptr2.ptr3,0.98,95.28,95.89
ptr3.ptr4,0.99,99.25,95.56
ptr4.ptr5,0.99,98.17,98.57
ptr5.ptr6,1.00,100.00,98.37
ptr6.ptr7,0.99,96.36,95.97
ptr7.ptr8,0.98,95.83,96.26
ptr8.ptr9,0.99,94.68,96.47
ptr9.ptr10,0.99,93.75,97.59
ptr10.ptr11,1.00,99.09,95.65
ptr11.ptr12,0.99,98.39,95.73
ptr12.ptr1,0.99,96.36,96.77
