"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-38.09,6.21,-6.14,0
"ptr_dbl_imp_BR",-0.25,0.22,-1.15,0.25
"mic_dbl_imp_BR",-0.01,0.07,-0.23,0.82
"mol_dbl_imp_BR",-0.13,0.22,-0.59,0.55
"ptr_dbl_imp_BR_2",0.71,0.26,2.7,0.01
"mic_dbl_imp_BR_2",-0.09,0.06,-1.59,0.11
"mol_dbl_imp_BR_2",-0.06,0.27,-0.22,0.83
"ptr_dbl_imp_BR_4",0.16,0.2,0.8,0.42
"mic_dbl_imp_BR_4",-0.03,0.06,-0.57,0.57
"mol_dbl_imp_BR_4",0.39,0.29,1.36,0.17
"ptr_dbl_imp_BR_6",0.54,0.25,2.18,0.03
"mic_dbl_imp_BR_6",0.06,0.07,0.91,0.36
"mol_dbl_imp_BR_6",0.13,0.24,0.55,0.58
"logPop",-0.29,0.17,-1.7,0.09
"OB_ann_imp",4.76,1.06,4.51,0
"lnBm.div",5.09,1.17,4.36,0
"lFrag",-0.41,0.31,-1.3,0.19
"OB_ann_imp_1",2.75,1.54,1.78,0.08
