Outbreak_ID,x,y,Virus,Country,Apparnet.Origin,Month.Start,Month.End,Year.Start,Year.End,shape,Lat.Long.Notes,Index.Case,Cases..suspect.and.confirmed.,Fatalities,Outbreak.Notes,Class,Article.Ref,RefrenceNotes
29,32.58252651,0.83174843,Ebola Sudan,Uganda,Luwero district (index),11,1,2012,2013,polygon,"No geographical information on index case. GE search term 'Luwero District, Uganda' to generate centroid coords. A polygon needs to be drawn matching the the geographic limits of  'ÊLuwero District, Uganda'.",yes,6,3,No info regarding the index case. ,6,105; 106,See Pigot 2014 for ref.
6,12.92928666,1.44201069,Ebola Zaire,Gabon,Mekouka and Andock mining camps,11,2,1994,1995,polygon,Original paper 'apparent origin' and give coords within the paper for Mekouka and Andock. These coords were used. The paper coords were checked and confirmed in GE and against Ref 8 map (Fig 1). A polygon needs to be drawn around Mekouka and Andock as we can not be sure whether the index case came from the Mekouka or Andock camp.,yes,52,31,"The paper states, 'From the end of 1994 to the beginning of 1995, 49 patients with hemorrhagic symptoms were hospitalized in the Makokou General Hospital in northeastern Gabon' & 'All patients in the first wave came from 3 gold-panning encampments (Mekouka, Andock, and Minkebe)'. Ref 105 states, 'Occured in M_kouka and other gold-mining camps deep in the rain forest. Initially thought to be yellow fever; identified as Ebola hemorrhagic fever in 1995' and gave the case and fatality figues of 52:31 for the whole area. In The spread to Minkebe town in December of that year.",4,8; 100; 105; 127,See Pigot 2014 for ref.
16,14.17743073,1.30411288,Ebola Zaire,Gabon,Grand Etoumbi,2,3,2002,2002,polygon,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. ",yes,5,4,"The paper states, 'The first index case was probably infected during a hunt near Mendemba village, on 21 October 2001, and the last index case was infected near Grand Itoumbi village on 23 February 2002'. The case: fatality was 65:53 in Gabon and 57:43 in Republic of the Congo",6,12; 100; 118,See Pigot 2014 for ref.
15,14.10658284,1.07167567,Ebola Zaire,Gabon,Etakangaye,12,3,2001,2002,polygon,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. ",yes,9,8,"The paper states, 'The first index case was probably infected during a hunt near Mendemba village, on 21 October 2001, and the last index case was infected near Grand Itoumbi village on 23 February 2002'. The case: fatality was 65:53 in Gabon and 57:43 in Republic of the Congo",6,12; 100; 118,See Pigot 2014 for ref.
21,28.70540402,4.43149029,Ebola Sudan,Sudan (South Sudan),Forest 40km South of Yambio town,4,6,2004,2004,polygon,"The search term, 'Yambio, South Sudan' was used in GE and then a forest in DRC which was 40km away from Yambio was geo-referenced. A polygon needs to be drawn around this forest area",yes,17,7,The paper states that the index case was a radio technican from the small town of Yambio,6,105; 116,See Pigot 2014 for ref.
22,14.91579918,1.12507528,Ebola Zaire,Republic of the Congo,Odzala National Park (Etoumbi),4,5,2005,2005,polygon,"It appears the first zoonotic infection was on a hunting trip into the Parc d'Odzala. The excel coords represent the centroid of the park, however it is my belief that the park is also made up of the 'Reserve de Faune de la Lekoli-Pandaka' and the 'Domdine de Chasse de Mboko' parks which should also be incluced in the polygon boundry.",yes,11,9,"The paper states, 'Along with 4 other Etoumbi residents, the patient had entered Parc D'Odzala forest to poach elephants, and had killed small animals for food. ",6,103; 132,See Pigot 2014 for ref.
18,14.43730751,0.14962631,Ebola Zaire,Republic of the Congo,"Site 2  (K_ll_ district, Cuvette Ouest)",12,4,2002,2003,polygon,The 2rd index case location was not reported but we are confident it is around the Lossi Animal reserve. A polygon was drawn around the excel coords to represent the potential hunting range.,yes,*,*,CDC states that the 'Outbreak occurred in the districts of Mbomo and K_ll_ in Cuvette Ouest D_partement' and that there were 143:128 cases and fatalities in the whole area. ,6,130,See Pigot 2014 for ref.
7,18.816667,-5.03333629,Ebola Zaire,DRC,Mwembe (15km from Kikwit),1,7,1995,1995,polygon,"Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against the paper's description ('Collecting charcoal in Mwembe, 15 km from his residence in Kikwit'). Because we could not find 'Mwembe' we drew a polygon around Kikwit that had a 15km radius.",yes,315,250,"The paper states, 'The first identified case-patient was GM, a 42-year-old male charcoal worker and farmer [from Kikwit] who became ill on 6 January 1995 and died of a febrile hemorrhagic disease at Kikwit General Hospital on 13 January 1995' & '[he was] presumed to have been infected from the natural reservoir at his charcoal pit or farm in Mwembe, 15 km from his residence in Kikwit'. Occured in Kikwit and surrounding area. Traced to index case-patient who worked in forest adjoining the city. Epidemic spread through families and hospitals.",4,11; 100; 105,See Pigot 2014 for ref.
3,19.223843,2.88874321,Ebola Zaire,DRC/ Zaire,Bonduni village (20km east of Tanda),6,6,1977,1977,polygon,Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against Ref 10 map (Fig 2). Because we can not be 100% certain where the village is along the road we suggest a 5km radius drawn around the excel coords.,yes,1,1,"The paper states, 'Confirmed Ebota virus disease, June 1977. A nine-year-old girl was admitted to the Tandala Mission Hospital in June 1977, with a three-day history of fever, abdominal pain, and hematemesis. The child lived with her family in Bonduni, a village 20 km from the Mission'. Ref 105 states, 'Noted retrospectively in the village of Tandala'.",6,10; 105,See Pigot 2014 for ref.
5,-7.317936,5.86441943,Ebola Ivory Coast,Cote d'Ivoire,Tai National Park,11,11,1994,1994,polygon,"Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against Ref 7 map (Fig 1). The excel coords represent the centroid of the chimpanze home range. A 5km radius should be drawn around the excel coords to capture the chimps homerange.  Our coords are around 12km from the town of Tai. Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. ",yes,1,0,"A scientist became ill after conducting an autopsy on a wild chimpanzee in the Tai Forest. The patient was treated in Switzerland. Ref 7 states, 'During a few weeks in November 1994, ~25% of 43 members of a wild chimpanzee community disappeared or were found dead in the Tai National Park, Cote dÕIvoire'. Ref 7 states, 'During a few weeks in November 1994, ~25% of 43 members of a wild chimpanzee community disappeared or were found dead in the Tai National Park, Cote dÕIvoire'. ",5,7; 24; 100; 105,See Pigot 2014 for ref.
