Reference,Spec_Binom,Family,Class,Place,Lon,Lat,Place_Notes,Start,End,,Notes
"McWilliams, 1987",Coleura_afra,Emballonuridae,3,,39.6,-4.14,"Diani Beach, Kenya",4,4,,
"McWilliams, 1987",Coleura_afra,Emballonuridae,3,,39.6,-4.14,"Diani Beach, Kenya",11,11,,
"Happold & Happold, 1990",Taphozous_mauritianus,Emballonuridae,3,,35.3,-14.8,"Liwonde National Park, Malawi",11,12,,
"Happold & Happold, 1990",Taphozous_mauritianus,Emballonuridae,3,,35.3,-14.8,"Liwonde National Park, Malawi",3,4,,
"O'Shea &  Vaughan, 1980",Taphozous_mauritianus,Emballonuridae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"O'Shea &  Vaughan, 1980",Taphozous_mauritianus,Emballonuridae,3,,38.12,-2.3,"Kibwezi, Kenya",3,5,,
"Verschuren, 1957",Hipposideros_abae,Hipposideridae,3,,25.1,4.1,"Garamba National Park, DRC",3,4,,
"Brosset, 1966",Hipposideros_beatus,Hipposideridae,3,,13,0.4,"Makokou, Gabon",10,11,,
"Verschuren, 1957",Hipposideros_cf_ruber,Hipposideridae,3,,25.1,4.1,"Garamba National Park, DRC",3,4,,
"Wolton et al., 1982",Hipposideros_cf_ruber,Hipposideridae,3,,-8.41,7.62,Mount Nimbia Liberia,3,3,,
"Verschuren, 1957",Hipposideros_cyclops,Hipposideridae,3,,25.1,4.1,"Garamba National Park, DRC",3,3,,
"McWilliam, 1982",Hipposideros_gigas,Hipposideridae,3,,39.38,-4.66,"Shimoni, Kenya",11,11,,
"Brosset, 1969",Hipposideros_gigas,Hipposideridae,3,,13,0.4,"Makokou, Gabon",10,10,,
"Howell, 1976",Hipposideros_ruber,Hipposideridae,3,,38.73,-7.25,"Kisarawe, Tanzania",12,12,,
"Cotterill & Ferguson, 1999",Hipposideros_vittatus,Hipposideridae,3,,29.42,-18.3,Central Zimbabwe,10,11,,
"Vaughan, 1976",Cardioderma_cor,Megadermatidae,3,,38.12,-2.3,"Kibwezi, Kenya",3,4,,
"Vaughan, 1976",Cardioderma_cor,Megadermatidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"Vaughan & Vaughan, 1986",Lavia_frons,Megadermatidae,3,,36,0.6,"Kampi ya Samaki, Kenya",4,4,,
"Vershuren, 1957",Lavia_frons,Megadermatidae,3,,25.1,4.1,"Garamba National Park, DRC",4,4,,
"Bernard, 1980",Miniopterus_fraterculus,Miniopteridae,3,,30.19,-29.48,Natal Midlands S. Africa,11,12,,
"Brosset, 1969",Miniopterus_inflatus,Miniopteridae,3,,13,0.6,North-eastern Gabon,10,10,,
"McWilliams, 1988",Miniopterus_minor,Miniopteridae,3,,39.6,-4.14,Coastal Kenya,11,11,,
